feature_name,feature_group,non_null_rows,missing_ratio,variance
binary_target__delta_vs_expanding_mean,change,312478,7.359976448075366e-05,0.0013356012059375644
binary_target__diff_1,change,312478,7.359976448075366e-05,8.960659761214629e-05
binary_target__diff_3,change,312432,0.00022079929344226098,0.0002688593522179872
iso_anomaly__delta_vs_expanding_mean,change,312478,7.359976448075366e-05,0.09413740783929825
iso_anomaly__diff_1,change,312478,7.359976448075366e-05,0.037935592234134674
iso_anomaly__diff_3,change,312432,0.00022079929344226098,0.0450531467795372
iso_refined_anomaly__delta_vs_expanding_mean,change,312478,7.359976448075366e-05,0.1284182071685791
iso_refined_anomaly__diff_1,change,312478,7.359976448075366e-05,0.03606025502085686
iso_refined_anomaly__diff_3,change,312432,0.00022079929344226098,0.04424016922712326
iso_refined_score__delta_vs_expanding_mean,change,312478,7.359976448075366e-05,0.003149103606119752
iso_refined_score__diff_1,change,312478,7.359976448075366e-05,0.00033785420237109065
iso_refined_score__diff_3,change,312432,0.00022079929344226098,0.0004251524806022644
iso_score__delta_vs_expanding_mean,change,312478,7.359976448075366e-05,0.002992382040247321
iso_score__diff_1,change,312478,7.359976448075366e-05,0.00033911154605448246
iso_score__diff_3,change,312432,0.00022079929344226098,0.0004278978449292481
ocsvm_score__delta_vs_expanding_mean,change,312478,7.359976448075366e-05,45.93624496459961
ocsvm_score__diff_1,change,312478,7.359976448075366e-05,15.618731498718262
ocsvm_score__diff_3,change,312432,0.00022079929344226098,17.298547744750977
pre_fault_target__delta_vs_expanding_mean,change,312478,7.359976448075366e-05,0.0013356012059375644
pre_fault_target__diff_1,change,312478,7.359976448075366e-05,8.960659761214629e-05
pre_fault_target__diff_3,change,312432,0.00022079929344226098,0.0002688593522179872
spe_anomaly_95__delta_vs_expanding_mean,change,312478,7.359976448075366e-05,0.03533856198191643
spe_anomaly_95__diff_1,change,312478,7.359976448075366e-05,0.012608927674591541
spe_anomaly_95__diff_3,change,312432,0.00022079929344226098,0.01654445379972458
binary_target__current,current,312501,0.0,0.0013421936891973019
iso_anomaly__current,current,312501,0.0,0.1506248563528061
iso_refined_anomaly__current,current,312501,0.0,0.2285308837890625
iso_refined_score__current,current,312501,0.0,0.006988233420997858
iso_score__current,current,312501,0.0,0.00647498806938529
ocsvm_score__current,current,312501,0.0,102.16372680664062
pre_fault_target__current,current,312501,0.0,0.0013421936891973019
spe_anomaly_95__current,current,312501,0.0,0.24997133016586304
binary_target__lag_1,lag,312478,7.359976448075366e-05,0.0013422922929748893
binary_target__lag_3,lag,312432,0.00022079929344226098,0.0013424897333607078
iso_anomaly__lag_1,lag,312478,7.359976448075366e-05,0.1505870223045349
iso_anomaly__lag_3,lag,312432,0.00022079929344226098,0.15051130950450897
iso_refined_anomaly__lag_1,lag,312478,7.359976448075366e-05,0.22853851318359375
iso_refined_anomaly__lag_3,lag,312432,0.00022079929344226098,0.22855375707149506
iso_refined_score__lag_1,lag,312478,7.359976448075366e-05,0.006985722575336695
iso_refined_score__lag_3,lag,312432,0.00022079929344226098,0.006980794947594404
iso_score__lag_1,lag,312478,7.359976448075366e-05,0.006472347769886255
iso_score__lag_3,lag,312432,0.00022079929344226098,0.006467083934694529
ocsvm_score__lag_1,lag,312478,7.359976448075366e-05,102.14373779296875
ocsvm_score__lag_3,lag,312432,0.00022079929344226098,102.10438537597656
pre_fault_target__lag_1,lag,312478,7.359976448075366e-05,0.0013422922929748893
pre_fault_target__lag_3,lag,312432,0.00022079929344226098,0.0013424897333607078
spe_anomaly_95__lag_1,lag,312478,7.359976448075366e-05,0.2499709278345108
spe_anomaly_95__lag_3,lag,312432,0.00022079929344226098,0.24997013807296753
binary_target__delta_vs_roll_mean_10,rolling,312478,7.359976448075366e-05,0.0002553788071963936
binary_target__delta_vs_roll_mean_5,rolling,312478,7.359976448075366e-05,0.0001075279142241925
binary_target__roll_mean_10,rolling,312478,7.359976448075366e-05,0.001194441458210349
binary_target__roll_mean_5,rolling,312478,7.359976448075366e-05,0.0012706071138381958
binary_target__roll_std_10,rolling,312478,7.359976448075366e-05,0.00016415018762927502
binary_target__roll_std_5,rolling,312478,7.359976448075366e-05,8.957480895332992e-05
iso_anomaly__delta_vs_roll_mean_10,rolling,312478,7.359976448075366e-05,0.022533049806952477
iso_anomaly__delta_vs_roll_mean_5,rolling,312478,7.359976448075366e-05,0.01781916804611683
iso_anomaly__roll_mean_10,rolling,312478,7.359976448075366e-05,0.13027916848659515
iso_anomaly__roll_mean_5,rolling,312478,7.359976448075366e-05,0.13398317992687225
iso_anomaly__roll_std_10,rolling,312478,7.359976448075366e-05,0.019851239398121834
iso_anomaly__roll_std_5,rolling,312478,7.359976448075366e-05,0.018992718309164047
iso_refined_anomaly__delta_vs_roll_mean_10,rolling,312478,7.359976448075366e-05,0.02207964099943638
iso_refined_anomaly__delta_vs_roll_mean_5,rolling,312478,7.359976448075366e-05,0.017515016719698906
iso_refined_anomaly__roll_mean_10,rolling,312478,7.359976448075366e-05,0.20868225395679474
iso_refined_anomaly__roll_mean_5,rolling,312478,7.359976448075366e-05,0.21244849264621735
iso_refined_anomaly__roll_std_10,rolling,312478,7.359976448075366e-05,0.019571108743548393
iso_refined_anomaly__roll_std_5,rolling,312478,7.359976448075366e-05,0.0184742733836174
iso_refined_score__delta_vs_roll_mean_10,rolling,312478,7.359976448075366e-05,0.00022712297504767776
iso_refined_score__delta_vs_roll_mean_5,rolling,312478,7.359976448075366e-05,0.00016888536629267037
iso_refined_score__roll_mean_10,rolling,312478,7.359976448075366e-05,0.006792901083827019
iso_refined_score__roll_mean_5,rolling,312478,7.359976448075366e-05,0.0068334536626935005
iso_refined_score__roll_std_10,rolling,312478,7.359976448075366e-05,0.00012093425175407901
iso_refined_score__roll_std_5,rolling,312478,7.359976448075366e-05,0.00011886059655807912
iso_score__delta_vs_roll_mean_10,rolling,312478,7.359976448075366e-05,0.00022974777675699443
iso_score__delta_vs_roll_mean_5,rolling,312478,7.359976448075366e-05,0.00016989241703413427
iso_score__roll_mean_10,rolling,312478,7.359976448075366e-05,0.0062789167277514935
iso_score__roll_mean_5,rolling,312478,7.359976448075366e-05,0.006319545209407806
iso_score__roll_std_10,rolling,312478,7.359976448075366e-05,0.00012876953405793756
iso_score__roll_std_5,rolling,312478,7.359976448075366e-05,0.00012467565829865634
ocsvm_score__delta_vs_roll_mean_10,rolling,312478,7.359976448075366e-05,8.512569427490234
ocsvm_score__delta_vs_roll_mean_5,rolling,312478,7.359976448075366e-05,6.906878471374512
ocsvm_score__roll_mean_10,rolling,312478,7.359976448075366e-05,94.2994155883789
ocsvm_score__roll_mean_5,rolling,312478,7.359976448075366e-05,95.56359100341797
ocsvm_score__roll_std_10,rolling,312478,7.359976448075366e-05,7.027223587036133
ocsvm_score__roll_std_5,rolling,312478,7.359976448075366e-05,7.025007247924805
pre_fault_target__delta_vs_roll_mean_10,rolling,312478,7.359976448075366e-05,0.0002553788071963936
pre_fault_target__delta_vs_roll_mean_5,rolling,312478,7.359976448075366e-05,0.0001075279142241925
pre_fault_target__roll_mean_10,rolling,312478,7.359976448075366e-05,0.001194441458210349
pre_fault_target__roll_mean_5,rolling,312478,7.359976448075366e-05,0.0012706071138381958
pre_fault_target__roll_std_10,rolling,312478,7.359976448075366e-05,0.00016415018762927502
pre_fault_target__roll_std_5,rolling,312478,7.359976448075366e-05,8.957480895332992e-05
spe_anomaly_95__delta_vs_roll_mean_10,rolling,312478,7.359976448075366e-05,0.008578742854297161
spe_anomaly_95__delta_vs_roll_mean_5,rolling,312478,7.359976448075366e-05,0.006527276244014502
spe_anomaly_95__roll_mean_10,rolling,312478,7.359976448075366e-05,0.24252144992351532
spe_anomaly_95__roll_mean_5,rolling,312478,7.359976448075366e-05,0.24412645399570465
spe_anomaly_95__roll_std_10,rolling,312478,7.359976448075366e-05,0.007910521700978279
spe_anomaly_95__roll_std_5,rolling,312478,7.359976448075366e-05,0.0070872255600988865
binary_target__slope_5,slope,312455,0.0001471995289615073,1.792263901734259e-05
iso_anomaly__slope_5,slope,312455,0.0001471995289615073,0.001925915596075356
iso_refined_anomaly__slope_5,slope,312455,0.0001471995289615073,0.001909273094497621
iso_refined_score__slope_5,slope,312455,0.0001471995289615073,1.9128690837533213e-05
iso_score__slope_5,slope,312455,0.0001471995289615073,1.93154119187966e-05
ocsvm_score__slope_5,slope,312455,0.0001471995289615073,0.7325327396392822
pre_fault_target__slope_5,slope,312455,0.0001471995289615073,1.792263901734259e-05
spe_anomaly_95__slope_5,slope,312455,0.0001471995289615073,0.0007383602787740529
time_fraction_by_time_index,time,312501,0.0,0.08334586769342422
time_fraction_of_flight,time,312501,0.0,0.08334586769342422
time_since_start,time,312501,0.0,23263692.0
time_since_start_rows,time,312501,0.0,23263692.0
