file_name,group,target_label,rows
Defect15(01).xlsx,defective,fault_post_onset,5052
Defect15(01).xlsx,defective,normal,7349
Defect15(01).xlsx,defective,pre_fault,30
Defect15(02).xlsx,defective,fault_post_onset,2562
Defect15(02).xlsx,defective,normal,2310
Defect15(02).xlsx,defective,pre_fault,30
Defect15(03).xlsx,defective,fault_post_onset,15189
Defect15(03).xlsx,defective,normal,470
Defect15(03).xlsx,defective,pre_fault,30
Defect15(04).xlsx,defective,fault_post_onset,12623
Defect15(04).xlsx,defective,normal,470
Defect15(04).xlsx,defective,pre_fault,30
Defect16(01).xlsx,defective,fault_post_onset,9116
Defect16(01).xlsx,defective,normal,544
Defect16(01).xlsx,defective,pre_fault,30
Defect16(02).xlsx,defective,fault_post_onset,11988
Defect16(02).xlsx,defective,normal,2519
Defect16(02).xlsx,defective,pre_fault,30
Defect16(03).xlsx,defective,fault_post_onset,14173
Defect16(03).xlsx,defective,normal,480
Defect16(03).xlsx,defective,pre_fault,30
Defected 1.xlsx,defective,fault_post_onset,5052
Defected 1.xlsx,defective,normal,7349
Defected 1.xlsx,defective,pre_fault,30
Defected 2.xlsx,defective,fault_post_onset,2562
Defected 2.xlsx,defective,normal,2310
Defected 2.xlsx,defective,pre_fault,30
Defected 3.xlsx,defective,fault_post_onset,15189
Defected 3.xlsx,defective,normal,470
Defected 3.xlsx,defective,pre_fault,30
Defected 4.xlsx,defective,fault_post_onset,12623
Defected 4.xlsx,defective,normal,470
Defected 4.xlsx,defective,pre_fault,30
Defected 5.xlsx,defective,fault_post_onset,9116
Defected 5.xlsx,defective,normal,544
Defected 5.xlsx,defective,pre_fault,30
Defected 6.xlsx,defective,fault_post_onset,11988
Defected 6.xlsx,defective,normal,2519
Defected 6.xlsx,defective,pre_fault,30
Defected 7.xlsx,defective,fault_post_onset,14173
Defected 7.xlsx,defective,normal,480
Defected 7.xlsx,defective,pre_fault,30
Healthy 1.xlsx,healthy,normal,19620
Healthy 2.xlsx,healthy,normal,11599
Healthy 3.xlsx,healthy,normal,11723
Healthy 4.xlsx,healthy,normal,18263
Healthy 5.xlsx,healthy,normal,19127
Healthy 6.xlsx,healthy,normal,19982
Healthy 7.xlsx,healthy,normal,12463
Healthy 8.xlsx,healthy,normal,9152
Healthy 9.xlsx,healthy,normal,20462
