file_name,group,rows,anomaly_rows,mean_score,max_score,anomaly_rate,file_predicted_defective
Defect15(02).xlsx,defective,4902,614,1.4656975296797532,2.631803035736084,0.12525499796001632,1
Defected 2.xlsx,defective,4902,614,1.4656975296797532,2.631803035736084,0.12525499796001632,1
Defect15(04).xlsx,defective,13123,1037,0.7570907312262172,2.84169602394104,0.07902156519088623,1
Defected 4.xlsx,defective,13123,1037,0.7570907312262172,2.84169602394104,0.07902156519088623,1
Defect15(01).xlsx,defective,12431,973,0.9277504940641369,2.870248794555664,0.0782720617810313,1
Defected 1.xlsx,defective,12431,973,0.9277504940641369,2.870248794555664,0.0782720617810313,1
Defect16(02).xlsx,defective,14537,1088,0.6757227426324102,2.620631694793701,0.07484350278599436,1
Defected 6.xlsx,defective,14537,1088,0.6757227426324102,2.620631694793701,0.07484350278599436,1
Defect16(01).xlsx,defective,9690,682,0.947018252617619,2.6547834873199463,0.07038183694530444,1
Defected 5.xlsx,defective,9690,682,0.947018252617619,2.6547834873199463,0.07038183694530444,1
0410may.xlsx,healthy,9152,491,0.7417792255634723,2.711129903793335,0.05364947552447553,1
Healthy 8.xlsx,healthy,9152,491,0.7417792255634723,2.711129903793335,0.05364947552447553,1
Defect15(03).xlsx,defective,15689,568,0.4005947764886178,2.808635950088501,0.036203709605456054,1
Defected 3.xlsx,defective,15689,568,0.4005947764886178,2.808635950088501,0.036203709605456054,1
Defect16(03).xlsx,defective,14683,451,0.42528214840183476,2.6742618083953857,0.03071579377511408,1
Defected 7.xlsx,defective,14683,451,0.42528214840183476,2.6742618083953857,0.03071579377511408,1
Healthy 9.xlsx,healthy,20462,612,0.643225035872576,2.649364709854126,0.029909099794741472,0
SatFiles.xlsx,healthy,20462,612,0.643225035872576,2.649364709854126,0.029909099794741472,0
00100726.xlsx,healthy,12463,318,0.7713874941733907,2.637286901473999,0.025515525956832222,0
Healthy 7.xlsx,healthy,12463,318,0.7713874941733907,2.637286901473999,0.025515525956832222,0
01012.xlsx,healthy,19982,288,0.33852032748378774,2.6719934940338135,0.014412971674507056,0
Healthy 6.xlsx,healthy,19982,288,0.33852032748378774,2.6719934940338135,0.014412971674507056,0
01007.xlsx,healthy,19620,269,0.32221735408749325,2.7431063652038574,0.013710499490316004,0
Healthy 1.xlsx,healthy,19620,269,0.32221735408749325,2.7431063652038574,0.013710499490316004,0
01010.xlsx,healthy,18263,241,0.5375917818972501,2.6538617610931396,0.01319607950501013,0
Healthy 4.xlsx,healthy,18263,241,0.5375917818972501,2.6538617610931396,0.01319607950501013,0
01008.xlsx,healthy,11599,146,0.5469571737890135,2.6161913871765137,0.012587292007931718,0
Healthy 2.xlsx,healthy,11599,146,0.5469571737890135,2.6161913871765137,0.012587292007931718,0
01009.xlsx,healthy,11723,122,0.5055797169158758,2.609724998474121,0.010406892433677387,0
Healthy 3.xlsx,healthy,11723,122,0.5055797169158758,2.609724998474121,0.010406892433677387,0
01011.xlsx,healthy,19127,169,0.36984719435165536,2.703118324279785,0.00883567731479061,0
Healthy 5.xlsx,healthy,19127,169,0.36984719435165536,2.703118324279785,0.00883567731479061,0
00101206.xlsx,healthy,19981,0,0.0,0.0,0.0,0
002.xlsx,healthy,19119,0,0.0,0.0,0.0,0
003.xlsx,healthy,19176,0,0.0,0.0,0.0,0
1138.xlsx,healthy,10981,0,0.0,0.0,0.0,0
