feature_name,importance,feature_family,leakage_flag
time_since_start,0.0,time,0
time_since_start_rows,0.0,time,0
time_fraction_of_flight,0.0,time,0
time_fraction_by_time_index,0.0,time,0
iso_score__current,0.0,anomaly_signal,0
iso_score__lag_1,0.0,lag,0
iso_score__lag_3,0.0,lag,0
iso_score__roll_mean_5,0.0,anomaly_signal,0
iso_score__roll_std_5,0.0,anomaly_signal,0
iso_score__delta_vs_roll_mean_5,0.0,anomaly_signal,0
iso_score__roll_mean_10,0.0,anomaly_signal,0
iso_score__roll_std_10,0.0,anomaly_signal,0
iso_score__delta_vs_roll_mean_10,0.0,anomaly_signal,0
iso_score__diff_1,0.0,change,0
iso_score__diff_3,0.0,change,0
iso_score__slope_5,0.0,slope,0
iso_score__delta_vs_expanding_mean,0.0,anomaly_signal,0
iso_refined_score__current,0.0,anomaly_signal,0
iso_refined_score__lag_1,0.0,lag,0
iso_refined_score__lag_3,0.0,lag,0
iso_refined_score__roll_mean_5,0.0,anomaly_signal,0
iso_refined_score__roll_std_5,0.0,anomaly_signal,0
iso_refined_score__delta_vs_roll_mean_5,0.0,anomaly_signal,0
iso_refined_score__roll_mean_10,0.0,anomaly_signal,0
iso_refined_score__roll_std_10,0.0,anomaly_signal,0
iso_refined_score__delta_vs_roll_mean_10,0.0,anomaly_signal,0
iso_refined_score__diff_1,0.0,change,0
iso_refined_score__diff_3,0.0,change,0
iso_refined_score__slope_5,0.0,slope,0
iso_refined_score__delta_vs_expanding_mean,0.0,anomaly_signal,0
iso_refined_anomaly__current,0.0,anomaly_signal,0
iso_refined_anomaly__lag_1,0.0,lag,0
iso_refined_anomaly__lag_3,0.0,lag,0
iso_refined_anomaly__roll_mean_5,0.0,anomaly_signal,0
iso_refined_anomaly__roll_std_5,0.0,anomaly_signal,0
iso_refined_anomaly__delta_vs_roll_mean_5,0.0,anomaly_signal,0
iso_refined_anomaly__roll_mean_10,0.0,anomaly_signal,0
iso_refined_anomaly__roll_std_10,0.0,anomaly_signal,0
iso_refined_anomaly__delta_vs_roll_mean_10,0.0,anomaly_signal,0
iso_refined_anomaly__diff_1,0.0,change,0
iso_refined_anomaly__diff_3,0.0,change,0
iso_refined_anomaly__slope_5,0.0,slope,0
iso_refined_anomaly__delta_vs_expanding_mean,0.0,anomaly_signal,0
spe_anomaly_95__current,0.0,anomaly_signal,0
spe_anomaly_95__lag_1,0.0,lag,0
spe_anomaly_95__lag_3,0.0,lag,0
spe_anomaly_95__roll_mean_5,0.0,anomaly_signal,0
spe_anomaly_95__roll_std_5,0.0,anomaly_signal,0
spe_anomaly_95__delta_vs_roll_mean_5,0.0,anomaly_signal,0
spe_anomaly_95__roll_mean_10,0.0,anomaly_signal,0
