file_name,group,total_rows,burn_in_rows,search_start_position,initial_segment_score,initial_segment_vote_rate,initial_segment_change,initial_segment_abnormal,suggested_anchor_position,suggested_anchor_sequence_index,suggested_anchor_time_index,suggested_pre_fault_capacity,remaining_rows_from_anchor,anchor_mode,anchor_reason,anchor_confidence,usable_for_prediction,candidate_1_position,candidate_1_sequence_index,candidate_1_time_index,candidate_1_score,candidate_2_position,candidate_2_sequence_index,candidate_2_time_index,candidate_2_score,candidate_3_position,candidate_3_sequence_index,candidate_3_time_index,candidate_3_score,manual_onset_sequence_index,manual_onset_time_index,use_manual_anchor,final_onset_sequence_index,final_onset_time_index,reviewer_status,reviewer_notes,anchor_source
Defect16(03).xlsx,defective,14683,500,515,0.999358057975769,1.0,0.0,1,14596,14596,14596.0,14596,87,escalation_anchor,largest_internal_worsening_window,0.5101643204689026,1,14596,14596,14596.0,0.5101643204689026,559,559,559.0,0.40744325518608093,774,774,774.0,0.3808722496032715,,,0,14596,14596.0,pending_review,,diagnostic_anchor
Defected 7.xlsx,defective,14683,500,515,0.999358057975769,1.0,0.0,1,14596,14596,14596.0,14596,87,escalation_anchor,largest_internal_worsening_window,0.5101643204689026,1,14596,14596,14596.0,0.5101643204689026,559,559,559.0,0.40744325518608093,774,774,774.0,0.3808722496032715,,,0,14596,14596.0,pending_review,,diagnostic_anchor
Defect15(04).xlsx,defective,13123,500,515,1.0,1.0,0.0,1,13046,13046,13046.0,13046,77,escalation_anchor,largest_internal_worsening_window,0.5343291163444519,1,13046,13046,13046.0,0.5343291163444519,543,543,543.0,0.49248966574668884,1456,1456,1456.0,0.4838828444480896,,,0,13046,13046.0,pending_review,,diagnostic_anchor
Defected 4.xlsx,defective,13123,500,515,1.0,1.0,0.0,1,13046,13046,13046.0,13046,77,escalation_anchor,largest_internal_worsening_window,0.5343291163444519,1,13046,13046,13046.0,0.5343291163444519,543,543,543.0,0.49248966574668884,1456,1456,1456.0,0.4838828444480896,,,0,13046,13046.0,pending_review,,diagnostic_anchor
Defect15(01).xlsx,defective,12431,500,515,1.0,1.0,0.0,1,11679,11679,11679.0,11679,752,escalation_anchor,largest_internal_worsening_window,0.5405896902084351,1,11679,11679,11679.0,0.5405896902084351,5777,5777,5777.0,0.5379882454872131,12327,12327,12327.0,0.5342004299163818,,,0,11679,11679.0,pending_review,,diagnostic_anchor
Defected 1.xlsx,defective,12431,500,515,1.0,1.0,0.0,1,11679,11679,11679.0,11679,752,escalation_anchor,largest_internal_worsening_window,0.5405896902084351,1,11679,11679,11679.0,0.5405896902084351,5777,5777,5777.0,0.5379882454872131,12327,12327,12327.0,0.5342004299163818,,,0,11679,11679.0,pending_review,,diagnostic_anchor
Defect16(01).xlsx,defective,9690,500,515,1.0,1.0,0.0,1,9590,9590,9590.0,9590,100,escalation_anchor,largest_internal_worsening_window,0.564504861831665,1,9590,9590,9590.0,0.564504861831665,7854,7854,7854.0,0.5628811717033386,609,609,609.0,0.5587772727012634,,,0,9590,9590.0,pending_review,,diagnostic_anchor
Defected 5.xlsx,defective,9690,500,515,1.0,1.0,0.0,1,9590,9590,9590.0,9590,100,escalation_anchor,largest_internal_worsening_window,0.564504861831665,1,9590,9590,9590.0,0.564504861831665,7854,7854,7854.0,0.5628811717033386,609,609,609.0,0.5587772727012634,,,0,9590,9590.0,pending_review,,diagnostic_anchor
Defect16(02).xlsx,defective,14537,500,515,1.0,1.0,0.0,1,2534,2534,2534.0,2534,12003,escalation_anchor,largest_internal_worsening_window,0.6040581464767456,1,2534,2534,2534.0,0.6040581464767456,14278,14278,14278.0,0.5876020789146423,2771,2771,2771.0,0.5356584787368774,,,0,2534,2534.0,pending_review,,diagnostic_anchor
Defected 6.xlsx,defective,14537,500,515,1.0,1.0,0.0,1,2534,2534,2534.0,2534,12003,escalation_anchor,largest_internal_worsening_window,0.6040581464767456,1,2534,2534,2534.0,0.6040581464767456,14278,14278,14278.0,0.5876020789146423,2771,2771,2771.0,0.5356584787368774,,,0,2534,2534.0,pending_review,,diagnostic_anchor
Defect15(02).xlsx,defective,4902,490,505,1.0,1.0,0.0,1,1661,1661,1661.0,1661,3241,escalation_anchor,largest_internal_worsening_window,0.5990216732025146,1,1661,1661,1661.0,0.5990216732025146,3238,3238,3238.0,0.5951914191246033,624,624,624.0,0.5389065146446228,,,0,1661,1661.0,pending_review,,diagnostic_anchor
Defected 2.xlsx,defective,4902,490,505,1.0,1.0,0.0,1,1661,1661,1661.0,1661,3241,escalation_anchor,largest_internal_worsening_window,0.5990216732025146,1,1661,1661,1661.0,0.5990216732025146,3238,3238,3238.0,0.5951914191246033,624,624,624.0,0.5389065146446228,,,0,1661,1661.0,pending_review,,diagnostic_anchor
Defect15(03).xlsx,defective,15689,500,515,1.0,1.0,0.0,1,1373,1373,1373.0,1373,14316,escalation_anchor,largest_internal_worsening_window,0.5569127798080444,1,1373,1373,1373.0,0.5569127798080444,15363,15363,15363.0,0.5484249591827393,1533,1533,1533.0,0.5225095748901367,,,0,1373,1373.0,pending_review,,diagnostic_anchor
Defected 3.xlsx,defective,15689,500,515,1.0,1.0,0.0,1,1373,1373,1373.0,1373,14316,escalation_anchor,largest_internal_worsening_window,0.5569127798080444,1,1373,1373,1373.0,0.5569127798080444,15363,15363,15363.0,0.5484249591827393,1533,1533,1533.0,0.5225096344947815,,,0,1373,1373.0,pending_review,,diagnostic_anchor
